ano_base,cd_programa_ies,nm_programa_ies,fonte_arquivo,fonte_data_coleta,qtd_registros_docente,qtd_docentes_distintos
2019,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,24,24
2019,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,27,27
2019,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,35,35
2019,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,46,46
2019,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,19,19
2019,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,30,30
2020,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,23,23
2020,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,27,27
2020,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,27,27
2020,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,36,36
2020,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,44,44
2020,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,19,19
2020,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,32,32
2021,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,22,22
2021,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,28,28
2021,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,25,25
2021,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,36,36
2021,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,33,33
2021,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,18,18
2021,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,29,29
2022,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,21,21
2022,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,29,29
2022,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,26,26
2022,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,36,36
2022,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,33,33
2022,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,18,18
2022,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,29,29
2023,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,21,21
2023,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,25,25
2023,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,25,25
2023,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,35,35
2023,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,31,31
2023,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,18,18
2023,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,27,27
2024,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,21,21
2024,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,27,27
2024,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,24,24
2024,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,30,30
2024,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,29,29
2024,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,18,18
2024,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,26,26
