id_add_producao_intelectual,an_base,sg_entidade_ensino,cd_programa_ies,nm_programa_ies,qtd_autores_total,qtd_tp_autor_sem_informacao,qtd_tp_autor_discente,qtd_tp_autor_docente,qtd_tp_autor_egresso,qtd_tp_autor_participante_externo,qtd_tp_autor_participante_x0020_externo,qtd_tp_autor_pos_doc,qtd_tp_autor_x002d
19836126,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,1,0,1,0,0,0
19836143,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,0,1,2,0,0,0,0,0
19836146,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,0,1,2,0,0,0,0,0
19836151,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836153,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836155,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836163,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836166,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836167,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,1,1,0,0,0,0,0
19836174,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836176,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836178,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836179,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,0,1,2,0,0,0,0,0
19836180,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836183,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836188,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,2,0,0,0,0,0
19836189,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,5,0,0,1,0,4,0,0,0
19836190,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836191,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,2,0,1,0,0,0,0,0
19836201,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836207,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,1,1,0,0,0,0,0
19836208,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,1,1,0,0,0,0,0
19836209,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,4,3,0,1,0,0,0,0,0
19836213,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836214,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,1,0,1,0,0,0,0,0
19836215,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836216,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19990717,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,2,0,1,0,0,0
19990721,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,1,1,0,0,0,0,0
19990723,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,2,0,0,0,0,0
19990724,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990725,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,1,1,0,0,0,0,0
19990731,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,5,0,0,3,0,2,0,0,0
19990732,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990733,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990734,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
19990735,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,5,0,0,1,0,4,0,0,0
19990736,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,2,0,0,0,0,0
19990737,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,2,0,0,0,0,0
19990738,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990740,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990743,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990744,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990747,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,6,0,0,1,0,5,0,0,0
19990748,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,7,0,0,1,0,6,0,0,0
19990749,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
19990750,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
19990754,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990755,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990756,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990760,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990766,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990767,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990768,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990769,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990770,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990772,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990773,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990774,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,6,0,0,1,0,5,0,0,0
19990775,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990776,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,2,0,0,0,0,0
19990777,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,2,0,0,0,0,0
19990780,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
